# Pathway	ENRIQ_10_S11_L001_Abundance	ENRIQ_11_S12_L001_Abundance	ENRIQ_12_S13_L001_Abundance	ENRIQ_13_S14_L001_Abundance	ENRIQ_14_S15_L001_Abundance	ENRIQ_15_S16_L001_Abundance	ENRIQ_16_S17_L001_Abundance	ENRIQ_17_S18_L001_Abundance	ENRIQ_18_S19_L001_Abundance	ENRIQ_19_S20_L001_Abundance	ENRIQ_1_S2_L001_Abundance	ENRIQ_20_S21_L001_Abundance	ENRIQ_21_S22_L001_Abundance	ENRIQ_22_S23_L001_Abundance	ENRIQ_23_S24_L001_Abundance	ENRIQ_24_S25_L001_Abundance	ENRIQ_25_S26_L001_Abundance	ENRIQ_26_S27_L001_Abundance	ENRIQ_27_S28_L001_Abundance	ENRIQ_28_S29_L001_Abundance	ENRIQ_29_S30_L001_Abundance	ENRIQ_2_S3_L001_Abundance	ENRIQ_30_S31_L001_Abundance	ENRIQ_31_S32_L001_Abundance	ENRIQ_32_S33_L001_Abundance	ENRIQ_33_S34_L001_Abundance	ENRIQ_34_S35_L001_Abundance	ENRIQ_35_S36_L001_Abundance	ENRIQ_36_S37_L001_Abundance	ENRIQ_37_S38_L001_Abundance	ENRIQ_38_S39_L001_Abundance	ENRIQ_39_S40_L001_Abundance	ENRIQ_3_S4_L001_Abundance	ENRIQ_40_S41_L001_Abundance	ENRIQ_41_S42_L001_Abundance	ENRIQ_42_S43_L001_Abundance	ENRIQ_43_S44_L001_Abundance	ENRIQ_44_S45_L001_Abundance	ENRIQ_45_S46_L001_Abundance	ENRIQ_46_S47_L001_Abundance	ENRIQ_47_S48_L001_Abundance	ENRIQ_48_S49_L001_Abundance	ENRIQ_49_S50_L001_Abundance	ENRIQ_4_S5_L001_Abundance	ENRIQ_50_S51_L001_Abundance	ENRIQ_51_S52_L001_Abundance	ENRIQ_52_S53_L001_Abundance	ENRIQ_53_S54_L001_Abundance	ENRIQ_54_S55_L001_Abundance	ENRIQ_55_S56_L001_Abundance	ENRIQ_56_S57_L001_Abundance	ENRIQ_57_S58_L001_Abundance	ENRIQ_58_S59_L001_Abundance	ENRIQ_59_S60_L001_Abundance	ENRIQ_5_S6_L001_Abundance	ENRIQ_60_S61_L001_Abundance	ENRIQ_61_S62_L001_Abundance	ENRIQ_62_S63_L001_Abundance	ENRIQ_6_S7_L001_Abundance	ENRIQ_7_S8_L001_Abundance	ENRIQ_8_S9_L001_Abundance	ENRIQ_9_S10_L001_Abundance
UNMAPPED	392070	442076	380562	316379	391394	302232	386155	364170	331703	348605	410433	335061	372915	397661	378147	350827	300433	506429	295375	354650	375953	479193	385316	419378	333062	330989	317009	346515	293719	350490	397307	284989	465419	121553	135652	147692	334788	218249	304044	141406	147260	140582	292822	448511	233424	263861	153367	153257	116101	217918	257047	290286	138817	142531	467123	222254	464529	509130	450234	468059	472335	341506
UNINTEGRATED	568264	521761	577620	634698	565474	646484	571558	591038	619771	601729	551533	613094	580456	559059	577431	600260	649442	463790	651730	598537	578904	489439	573413	538207	618081	618252	632646	606069	653067	602041	559449	658878	501724	801025	789678	779047	614421	717523	640022	786877	778844	786621	650949	517520	705627	679486	775017	774669	804731	715731	683829	653289	785580	782404	499363	713954	501267	460967	515352	500593	495310	613353
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0	0	0	0	0	0	0	0	0	0	0	1030.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1145.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2255.25	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	2686.72	2331.36	3112.64	1976.89	1212.78	1877.48	0	1938.06	3907.88	0	0	1991.73	1422.59	0	0	0	2979.81	0	2017.44	1984.29	0	0	0	0	2141.78	1803.75	2772.17	1857.16	3124.12	0	0	0	0	0	0	394.491	2418.07	1100.55	0	0	0	0	0	0	1004.52	972.885	0	0	0	0	0	0	0	0	1873.72	0	0	0	2404.39	0	0	3662.01
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	812.873	0	0	638.092	0	475.379	0	0	486.572	0	0	0	0	0	0	0	2776.83	0	2477.51	1860.77	2395.69	0	985.502	706.371	2921.72	1918.7	2381.85	2069.62	2727.77	2574.04	0	1752.63	0	0	520.517	556.09	4172.11	2468.1	1253.91	0	0	528.337	998.405	0	1215.32	2121.11	0	531.465	0	403.998	1535.06	3621.12	0	663.575	0	0	0	0	208.084	0	0	687.336
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	230.805	0	0	0	0	205.15	0	0	0	0	0	0	0	1654.79	0	1048.09	627.392	1118.96	0	410.694	423.892	958.453	1153.68	978.123	679.066	1173.65	1439.28	0	1135.59	0	0	293.173	375.403	1565.23	1291.51	685.025	0	0	216.286	507.536	0	612.759	975.137	0	135.197	0	0	808.537	1626.83	0	0	0	0	0	0	0	0	0	404.344
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	5791.09	4562.27	6528.27	4422.19	0	6099.34	0	4965.44	4287.68	4261.29	3995.87	5975.08	0	1790.5	0	4616.2	7994.94	0	6429	9309.43	8604.45	0	9058.19	6045.98	7571.29	7075.13	8151.24	6557.28	7357.86	6869.58	0	6874.01	3005.99	466.45	371.695	1254.51	10466.1	7552.54	6604.74	0	598.905	0	4766.46	4988.49	5933.33	6741.25	0	0	608.027	2223.26	5303.48	6264.18	0	0	0	0	5790.91	6676.74	2301.44	0	6019.21	4719.66
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542.956	0	325.074	0	0	0	0	0	197.314	174.704	412.71	0	0	0	0	0	0	0	0	0	0	477.238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.338	0	0	0	0	0	0	0	56.3723	0	0	0	0	0	0	0	0	0	0	0	0	106.577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	3279.52	0	3591.01	0	0	0	0	0	0	0	2511.21	0	0	0	0	0	2051.11	0	903.564	0	0	0	0	0	0	860.441	1230.48	0	1726.28	0	0	0	0	0	0	0	0	262.215	0	0	0	0	0	3839.7	0	0	0	0	0	0	0	0	0	0	0	0	2011.21	0	0	0	0	4799.41
