read_file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
MicrobialFastQ/ENRIQ_10_S11_L001_interleaved.fastq.gz	FASTQ	DNA	"3,999,684"	"420,995,325"	20	105.3	151
MicrobialFastQ/ENRIQ_10_S11_L001_interleaved.fastq.gz	FASTQ	DNA	"3,999,684"	"420,995,325"	20	105.3	151
MicrobialFastQ/ENRIQ_11_S12_L001_interleaved.fastq.gz	FASTQ	DNA	"2,722,934"	"285,370,087"	20	104.8	151
MicrobialFastQ/ENRIQ_11_S12_L001_interleaved.fastq.gz	FASTQ	DNA	"2,722,934"	"285,370,087"	20	104.8	151
MicrobialFastQ/ENRIQ_12_S13_L001_interleaved.fastq.gz	FASTQ	DNA	"4,493,578"	"470,323,891"	20	104.7	151
MicrobialFastQ/ENRIQ_12_S13_L001_interleaved.fastq.gz	FASTQ	DNA	"4,493,578"	"470,323,891"	20	104.7	151
MicrobialFastQ/ENRIQ_13_S14_L001_interleaved.fastq.gz	FASTQ	DNA	"4,012,784"	"433,111,556"	20	107.9	151
MicrobialFastQ/ENRIQ_13_S14_L001_interleaved.fastq.gz	FASTQ	DNA	"4,012,784"	"433,111,556"	20	107.9	151
MicrobialFastQ/ENRIQ_14_S15_L001_interleaved.fastq.gz	FASTQ	DNA	"1,691,908"	"184,582,078"	20	109.1	151
MicrobialFastQ/ENRIQ_14_S15_L001_interleaved.fastq.gz	FASTQ	DNA	"1,691,908"	"184,582,078"	20	109.1	151
MicrobialFastQ/ENRIQ_15_S16_L001_interleaved.fastq.gz	FASTQ	DNA	"3,331,164"	"380,492,839"	20	114.2	151
MicrobialFastQ/ENRIQ_15_S16_L001_interleaved.fastq.gz	FASTQ	DNA	"3,331,164"	"380,492,839"	20	114.2	151
MicrobialFastQ/ENRIQ_16_S17_L001_interleaved.fastq.gz	FASTQ	DNA	"2,219,672"	"243,981,443"	20	109.9	151
MicrobialFastQ/ENRIQ_16_S17_L001_interleaved.fastq.gz	FASTQ	DNA	"2,219,672"	"243,981,443"	20	109.9	151
MicrobialFastQ/ENRIQ_17_S18_L001_interleaved.fastq.gz	FASTQ	DNA	"2,493,782"	"266,523,834"	20	106.9	151
MicrobialFastQ/ENRIQ_17_S18_L001_interleaved.fastq.gz	FASTQ	DNA	"2,493,782"	"266,523,834"	20	106.9	151
MicrobialFastQ/ENRIQ_18_S19_L001_interleaved.fastq.gz	FASTQ	DNA	"3,958,216"	"422,500,350"	20	106.7	151
MicrobialFastQ/ENRIQ_18_S19_L001_interleaved.fastq.gz	FASTQ	DNA	"3,958,216"	"422,500,350"	20	106.7	151
MicrobialFastQ/ENRIQ_19_S20_L001_interleaved.fastq.gz	FASTQ	DNA	"3,453,334"	"365,743,249"	20	105.9	151
MicrobialFastQ/ENRIQ_19_S20_L001_interleaved.fastq.gz	FASTQ	DNA	"3,453,334"	"365,743,249"	20	105.9	151
MicrobialFastQ/ENRIQ_1_S2_L001_interleaved.fastq.gz	FASTQ	DNA	"3,000,300"	"328,236,755"	20	109.4	151
MicrobialFastQ/ENRIQ_1_S2_L001_interleaved.fastq.gz	FASTQ	DNA	"3,000,300"	"328,236,755"	20	109.4	151
MicrobialFastQ/ENRIQ_20_S21_L001_interleaved.fastq.gz	FASTQ	DNA	"4,347,274"	"450,603,102"	20	103.7	151
MicrobialFastQ/ENRIQ_20_S21_L001_interleaved.fastq.gz	FASTQ	DNA	"4,347,274"	"450,603,102"	20	103.7	151
MicrobialFastQ/ENRIQ_21_S22_L001_interleaved.fastq.gz	FASTQ	DNA	"2,552,594"	"269,985,762"	20	105.8	151
